"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.783613070E0,1.569999941E-2,-1.799999923E-2,-8.669999987E-2,8.992986117E-2
2.793613070E0,4.619999975E-2,-1.889999956E-2,-6.700000167E-2,8.355028536E-2
2.803614632E0,4.659999907E-2,9.599999525E-3,-4.739999771E-2,6.716010488E-2
2.813614632E0,4.649999738E-2,1.850000024E-2,-1.799999923E-2,5.318364163E-2
2.823634945E0,5.579999834E-2,-2.499999944E-3,-1.809999906E-2,5.871541348E-2
2.833613070E0,4.609999806E-2,-2.349999920E-2,-1.809999906E-2,5.481851648E-2
2.843616195E0,4.649999738E-2,-3.489999846E-2,-8.299999870E-3,5.872946148E-2
2.853611507E0,3.749999776E-2,-3.579999879E-2,-1.809999906E-2,5.491356582E-2
2.863614632E0,2.889999934E-2,-4.649999738E-2,-8.200000040E-3,5.535973011E-2
2.873631820E0,4.919999838E-2,1.899999916E-3,-2.779999934E-2,5.654281390E-2
2.883611507E0,5.009999871E-2,1.079999935E-2,-6.700000167E-2,8.435431276E-2
2.893611507E0,5.049999803E-2,1.999999955E-2,-1.257999986E-1,1.370251416E-1
2.903611507E0,7.029999793E-2,9.699999355E-3,-1.454000026E-1,1.617941298E-1
2.913611507E0,6.989999861E-2,-1.040000003E-2,-1.159999967E-1,1.358313993E-1
2.923634945E0,5.979999900E-2,-1.599999960E-3,-8.669999987E-2,1.053351312E-1
2.933613070E0,5.020000041E-2,-2.219999954E-2,-9.649999440E-2,1.110185973E-1
2.943613070E0,3.089999966E-2,-6.269999593E-2,-8.669999987E-2,1.113687095E-1
2.953613070E0,1.150000002E-2,-5.339999869E-2,-1.799999923E-2,5.751356217E-2
2.963613070E0,2.799999900E-3,-1.449999958E-2,1.599999960E-3,1.485429188E-2
